Feature,F-statistic,p-value,Eta-squared,Significant
unique_operations_used,268.91362032625466,5.864289041720792e-150,0.5551322445168632,***
tenure_days,94.31751474166369,1.4803522765000162e-66,0.30442925352464617,***
product_type_diversity,86.83881006793291,5.23716191869119e-62,0.28722349621082294,***
recency_days,55.16648579851036,1.928175710340272e-41,0.20381720195524122,***
frequency,23.126164286713824,3.551639789646458e-18,0.09691378292837947,***
monetary_total,19.285565776365832,3.2926081202359613e-15,0.08214119003693528,***
avg_days_between_orders,18.133320964317075,2.5971462218085486e-14,0.07761444681551571,***
monetary_mean,7.88227580747395,3.058565564462283e-06,0.035286039498798154,***
company_age_years,5.6051551621460804,0.00018627829120760424,0.0253506308255706,***
avg_margin,4.514784983219698,0.0012948064458563014,0.020520370863094516,**
orders_per_year,1.2452960366434673,0.290120165758792,0.005745435123228465,ns
